Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_1d,return_3d,return_5d,return_10d,ema_5,ema_12,ema_26,ema_5_dist,ema_12_dist,ema_26_dist,vol_change_1d,vol_ma_5,vol_vs_ma5,rsi_14,c_body,c_range,c_upper_wick,c_lower_wick,c_body_to_range,c_direction,pattern_doji,pattern_spinning_top,pattern_hammer,pattern_hanging_man,pattern_inverted_hammer,pattern_shooting_star,pattern_bullish_marubozu,pattern_bearish_marubozu,pattern_bullish_engulfing,pattern_bearish_engulfing,pattern_piercing,pattern_dark_cloud_cover,pattern_bullish_harami,pattern_bearish_harami,pattern_morning_star,pattern_evening_star,pattern_three_white_soldiers,pattern_three_black_crows,pattern_inside_bar,pattern_outside_bar,pattern_struct_double_top,pattern_struct_double_bottom,pattern_struct_head_shoulders,pattern_struct_inverse_head_shoulders,pattern_struct_ascending_triangle,pattern_struct_descending_triangle,pattern_struct_sym_triangle,pattern_struct_rising_wedge,pattern_struct_falling_wedge,pattern_struct_bull_flag,pattern_struct_bear_flag,future_return_1d,signal,model_action,model_signal,proba_sell,proba_hold,proba_buy
2020-12-04 00:00:00-05:00,13.411532721541958,13.522726970662992,13.3519473567453,13.520981788635254,202244000,0.0,0.0,0.0121116938288985,0.0128646116341095,0.0226980798177263,0.0090776424079486,13.409011792088098,13.353850217248064,13.36940206687344,0.0083503540964311,0.0125156092563717,0.0113378086023305,0.0136527666399357,253804800.0,0.7968486017600928,51.45566024450362,0.1094490670932959,0.1707796139176913,0.0017451820277383,0.0595853647966571,0.6408789935902175,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0035770064658231,0,HOLD,0,0.25121539494819006,0.570289816964598,0.17849478808721234
2020-12-07 00:00:00-05:00,13.563861706447456,13.693504468227644,13.462890333284715,13.56934642791748,223244000,0.0,0.0,0.0035770064658231,0.0048925731481177,0.015615513284275,0.0399623234973747,13.462456670697891,13.387003480427971,13.384212760284113,0.0079398403897738,0.0136208934102464,0.0138322418321628,0.103834971618441,241063200.0,0.9260807954096684,52.87169375334839,0.0054847214700242,0.2306141349429289,0.1241580403101636,0.100971373162741,0.0237831105685761,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188691829653615,-1,SELL,-1,0.4655943454764785,0.26102227604919626,0.2733833784743253
2020-12-08 00:00:00-05:00,13.547657637897526,13.561369918030191,13.244991722634673,13.31330394744873,271920000,0.0,0.0,-0.0188691829653615,-0.0034340095009214,-0.0026926562660071,0.0162818266675925,13.412739096281507,13.375665090738858,13.378960255629638,-0.0074134856511407,-0.0046622835475527,-0.0049074297947241,0.2180394545878052,236057600.0,1.1519222427068647,48.13059338414745,0.2343536904487955,0.3163781953955187,0.0137122801326654,0.0683122248140577,0.7407390707056134,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314043448819632,-1,SELL,-1,0.3874744915395638,0.37567428524858715,0.2368512232118494
2020-12-09 00:00:00-05:00,13.263942084587676,13.377129760231073,12.83288014662845,12.895208358764648,401300000,0.0,0.0,-0.0314043448819632,-0.046281656143978,-0.0450314480688761,-0.0017888889561502,13.240228850442556,13.301748670435137,13.343126781787786,-0.0260584991071642,-0.0305629223452458,-0.0335692248412499,0.4758017063842306,259645600.0,1.5455682668991888,38.96822487858714,0.3687337258230272,0.5442496136026236,0.1131876756433971,0.0623282121361992,0.6775084751686257,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032093081250852,0,HOLD,0,0.2351405404727743,0.4823596044300488,0.2824998550971771
2020-12-10 00:00:00-05:00,12.833627308736656,13.03282820102844,12.81418017813656,12.936593055725098,207764000,0.0,0.0,0.0032093081250852,-0.0466310868805412,-0.0316326643520559,-0.0195443501653908,13.139016918870071,13.245570883556669,13.313013172449809,-0.0154063172606357,-0.0233268788901458,-0.0282745995852901,-0.4822726140044854,261294400.0,0.7951337648261884,39.7751527052904,0.1029657469884419,0.2186480228918803,0.0962351453033427,0.0194471306000956,0.4709200916916485,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031604863132703,0,HOLD,0,0.16635059438139718,0.6517448598958232,0.18190454572277934
2020-12-11 00:00:00-05:00,12.93160494842232,12.98421053285206,12.787751552582478,12.977478981018066,209264000,0.0,0.0,0.0031604863132703,-0.0252247652240388,-0.0401969928007754,-0.0184113075340737,13.085170939586073,13.204325975473806,13.28815878789931,-0.0082300765549961,-0.0171797481277797,-0.0233801997583111,0.007219730078358,262698400.0,0.796594117055909,48.19596406997314,0.045874032595746,0.1964589802695826,0.0067315518339938,0.1438533958398427,0.2335043810814723,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227075164502197,1,BUY,1,0.24126859561839717,0.35796135192613676,0.4007700524554665
2020-12-14 00:00:00-05:00,13.05202226984306,13.35194530778793,13.041551179283497,13.272165298461914,270156000,0.0,0.0,0.0227075164502197,0.0292323263967313,-0.0219009169700427,-0.0066273977456512,13.147502392544686,13.214762794395051,13.286974084978022,0.0094818698027329,0.0043438164543678,-0.0011145341611563,0.2909817264316843,272080800.0,0.992925630915522,53.92158702607424,0.2201430286188532,0.3103941285044342,0.0797800093260168,0.0104710905595641,0.7092370905324916,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038885887735997,0,HOLD,0,0.21994709302225454,0.5661454441353113,0.21390746284243387
2020-12-15 00:00:00-05:00,13.402806834534603,13.426990207111126,13.150502967637742,13.323775291442873,193016000,0.0,0.0,0.0038885887735997,0.0299292274287339,0.000786532331529,-0.0019082417956889,13.20626002551075,13.231533947787025,13.289700100271714,0.0088984516210582,0.0069713265309858,0.0025640301070798,-0.2855387257732569,256300000.0,0.7530862270776434,59.81802731979669,0.0790315430917303,0.2764872394733846,0.0241833725765232,0.173272323805131,0.285841557253271,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0088321580051122,-1,SELL,-1,0.4104425703088241,0.3894880132031316,0.20006941648804474
2020-12-16 00:00:00-05:00,13.38560214878319,13.400312081400758,13.176179385977136,13.206097602844238,223116000,0.0,0.0,-0.0088321580051122,0.0176165665273331,0.0241088965319651,-0.022008210059088,13.206205884621912,13.227620663949672,13.283507322684493,-8.199310128897004e-06,-0.0016271302037026,-0.0058275060915621,0.1559456210884071,220663200.0,1.01111558248045,50.30495332723701,0.1795045459389523,0.2241326954236218,0.014709932617567,0.0299182168671023,0.8008851435069746,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0074572505251271,1,HOLD,0,0.2636144441266423,0.4866419540426323,0.24974360183072553
2020-12-17 00:00:00-05:00,13.330008033914774,13.342723611361109,13.14227589521306,13.30457878112793,231384000,0.0,0.0,0.0074572505251271,0.0024422151123879,0.0284453351680549,-0.0040871309237537,13.238996850123918,13.23946037428479,13.28506817145808,0.0049536933762015,0.0049185091387577,0.0014686119346956,0.0370569569192706,225387200.0,1.0266066573434516,52.11493920127746,0.0254292527868447,0.200447716148048,0.0127155774463343,0.1623028859148689,0.1268622724943546,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005190718681039,-1,HOLD,0,0.36055865132171866,0.43122435468960335,0.20821699398867818
